n,accuracy,hallucination_rate,accuracy_ci_low_bootstrap_examples,accuracy_ci_high_bootstrap_examples,ece,brier,parse_success_rate,refusal_rate,answer_rate,mean_latency_s,tokens_per_second,iga_gamma_mean,iga_gamma_max,iga_gate_mean,iga_gate_max,iga_pattern_mean,iga_active_heads,error_rate,model_id,benchmark,method,seed,evaluation_mode
300.0,0.6533333333333333,0.3466666666666667,0.5999166666666667,0.7067499999999999,0.3383362177655638,0.34273298319414797,1.0,0.0,1.0,5.246567125891645,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,semantic_entropy_mc,1,choice
300.0,0.6666666666666666,0.33333333333333337,0.61325,0.7200833333333332,0.38018351432140074,0.3745316831757728,0.9966666666666667,0.0,1.0,5.321441933487852,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,semantic_entropy_mc,2,choice
300.0,0.65,0.35,0.5933333333333334,0.7033333333333334,0.35407597796601226,0.35409595774066177,1.0,0.0,1.0,5.418838789661725,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,semantic_entropy_mc,3,choice
300.0,0.5566666666666666,0.44333333333333336,0.49666666666666665,0.6133333333333333,0.37234551231066393,0.35927284849783203,,0.0,1.0,0.07103902560969194,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,temperature_mc,1,choice
300.0,0.5566666666666666,0.44333333333333336,0.49666666666666665,0.6133333333333333,0.37234551231066393,0.35927284849783203,,0.0,1.0,0.07188508068521818,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,temperature_mc,2,choice
300.0,0.5566666666666666,0.44333333333333336,0.49666666666666665,0.6133333333333333,0.37234551231066393,0.35927284849783203,,0.0,1.0,0.07109910453359286,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,temperature_mc,3,choice
300.0,0.5566666666666666,0.44333333333333336,0.49666666666666665,0.6133333333333333,0.3451904312769572,0.3275620111493696,,0.0,1.0,0.069261205047369,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,vanilla_mc,1,choice
300.0,0.5566666666666666,0.44333333333333336,0.49666666666666665,0.6133333333333333,0.3451904312769572,0.3275620111493696,,0.0,1.0,0.06468480927248796,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,vanilla_mc,2,choice
300.0,0.5566666666666666,0.44333333333333336,0.49666666666666665,0.6133333333333333,0.3451904312769572,0.3275620111493696,,0.0,1.0,0.07114140813549359,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,HaluEval-QA,vanilla_mc,3,choice
149.0,0.42953020134228187,0.5704697986577181,0.348993288590604,0.5100671140939598,0.10952607327259625,0.24471590645899383,,0.0,1.0,0.37189350222181156,0.0,0.37359701964579173,5.95771295594289,0.3937387140405258,1.403469526527712,20.26398553096208,28.0,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,iga_v2_lowrank_mc,1,choice
149.0,0.4161073825503356,0.5838926174496644,0.33557046979865773,0.4966442953020134,0.11789456829928711,0.24582071031487468,,0.0,1.0,0.35828072807732847,0.0,0.4029021473195179,6.312609495182565,0.3937387140405258,1.403469526527712,21.997878750538664,28.0,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,iga_v2_lowrank_mc,2,choice
149.0,0.42953020134228187,0.5704697986577181,0.35570469798657717,0.5100671140939598,0.13114699311304415,0.25131864431386436,,0.0,1.0,0.35875202060345834,0.0,0.3332026960165709,6.130589358958622,0.3937387140405258,1.403469526527712,18.042072436633525,28.0,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,iga_v2_lowrank_mc,3,choice
149.0,0.8523489932885906,0.1476510067114094,0.7917785234899328,0.9060402684563759,0.09271749397117426,0.10567383155943975,1.0,0.0,1.0,0.22204252532464547,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,lora_mc,1,choice
149.0,0.8053691275167785,0.19463087248322153,0.738255033557047,0.8657718120805369,0.12390095743588739,0.11431672165547965,1.0,0.0,1.0,0.23313140779133612,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,lora_mc,2,choice
149.0,0.8053691275167785,0.19463087248322153,0.738255033557047,0.8657718120805369,0.10354932561442426,0.12927501822878779,1.0,0.0,1.0,0.22755527456334773,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,lora_mc,3,choice
149.0,0.6577181208053692,0.3422818791946308,0.5838926174496645,0.738255033557047,0.289261747726658,0.2741610763857029,0.9932885906040269,0.0,1.0,5.479581625669595,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,self_consistency_mc,1,choice
149.0,0.6644295302013423,0.3355704697986577,0.5906040268456376,0.7449664429530202,0.2879194657274541,0.28302013621234257,0.9932885906040269,0.0,1.0,5.408504260866434,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,self_consistency_mc,2,choice
149.0,0.6510067114093959,0.3489932885906041,0.5771812080536913,0.7315436241610739,0.30536912971694996,0.2859731567946057,0.9932885906040269,0.0,1.0,5.488722697200391,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,self_consistency_mc,3,choice
149.0,0.6577181208053692,0.3422818791946308,0.5838926174496645,0.738255033557047,0.27658134653292793,0.26377448355845684,0.9932885906040269,0.0,1.0,5.2088139347182025,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,semantic_entropy_mc,1,choice
149.0,0.6644295302013423,0.3355704697986577,0.5906040268456376,0.7449664429530202,0.2714828826275289,0.2730651915764049,0.9932885906040269,0.0,1.0,5.249858271705624,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,semantic_entropy_mc,2,choice
149.0,0.6510067114093959,0.3489932885906041,0.5771812080536913,0.7315436241610739,0.2919668308660524,0.2704259415527396,0.9932885906040269,0.0,1.0,5.329940142647532,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,semantic_entropy_mc,3,choice
149.0,0.37583892617449666,0.6241610738255033,0.2953020134228188,0.4563758389261745,0.212006829328985,0.26906681019937145,,0.0,1.0,0.1663839064988514,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,temperature_mc,1,choice
149.0,0.37583892617449666,0.6241610738255033,0.2953020134228188,0.4563758389261745,0.212006829328985,0.26906681019937145,,0.0,1.0,0.16563419042617683,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,temperature_mc,2,choice
149.0,0.37583892617449666,0.6241610738255033,0.2953020134228188,0.4563758389261745,0.212006829328985,0.26906681019937145,,0.0,1.0,0.1617700605084432,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,temperature_mc,3,choice
149.0,0.37583892617449666,0.6241610738255033,0.2953020134228188,0.4563758389261745,0.1622528796828033,0.25206363664174636,,0.0,1.0,0.17653701649416212,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,vanilla_mc,1,choice
149.0,0.37583892617449666,0.6241610738255033,0.2953020134228188,0.4563758389261745,0.1622528796828033,0.25206363664174636,,0.0,1.0,0.16624088190345956,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,vanilla_mc,2,choice
149.0,0.37583892617449666,0.6241610738255033,0.2953020134228188,0.4563758389261745,0.1622528796828033,0.25206363664174636,,0.0,1.0,0.16377105983911744,0.0,,,,,,,0.0,Qwen/Qwen2.5-7B-Instruct,TruthfulQA-MC1,vanilla_mc,3,choice
